venue,type
Zenodo (CERN European Organization for Nuclear Research),other
arXiv (Cornell University),other
SSRN Electronic Journal,other
HAL (Le Centre pour la Communication Scientifique Directe),other
Mining of Mineral Deposits,other
Preprints.org,other
European Cells & Materials,other
Queensland's institutional digital repository (The University of Queensland), other
The Cambridge Structural Database,other
Abstracts with programs - Geological Society of America,other
"Advances in Science, Technology & Innovation/Advances in science, technology & innovation",other
Figshare,other
